Manufacturer ID,Manufacturer Name
260,Diageo Americas
395,Proximo
978,W J Deutsch & Sons Ltd
301,Fifth Generation Inc
421,Sazerac Company  Inc
777,"Blue Ox Spirits, Inc."
283,Best Case Wines Llc
240,William Grant & Sons Inc
65,Jim Beam Brands
420,Moet Hennessy Usa
35,Bacardi Usa Inc
368,Park Street Imports
619,Campari America
384,Piedmont Distillers Inc
259,Heaven Hill Brands
125,Cedar Ridge Vineyards Ll
525,Cats Eye Distillery
115,Constellation Brands Inc
300,Mccormick Distilling Co.
85,Brown Forman Corp.
205,E & J Gallo Winery
434,Luxco Inc
380,Phillips Beverage
370,Pernod Ricard Usa
192,"Mast-Jagermeister Us, Inc"
305,Mhw Ltd
338,"Marussia Beverages Usa, Inc / Niche Import"
830,Kirin Beer & Spirits Of America Inc / Four Roses Distillery
962,Duggans Distillers
611,"Global Beverage Team, Llc"
389,Remy Cointreau Usa Inc
492,Western Spirits Beverage
255,Infinium Spirits
277,Stoli Group
566,"Foundry Distilling Company, Llc"
666,"Northwest Natural Spirits, Llc / Cascade Spirits"
346,Ole Smoky Distillery Llc
482,"Sovereign Brands, Llc"
297,Laird & Company
266,Edrington Group Usa Llc
727,Benchmark Beverage Company Llc
772,Intercontinental Packaging Company/Prestige Beverage Group
568,21St Century Spirits Llc
216,Rumcoqui And Co
654,Revelton Distilling Company
154,Dunkel Corporation / Iowa Distilling
195,Swell Liquor Llc
214,Goamericago Beverages Llc / Whistlepig
79,Breckenridge Distillery / Double Diamond Distillery Llc
481,Sugarlands Distilling Company Llc
617,Midwest Liquor Company
91,Castle Brands
121,Cooper Spirits International
755,Winesource International Inc.
558,Altamar Brands Llc
391,Hotaling & Co
287,Chatham Imports Inc
578,S&B Farms Distillery
163,Stoller Imports Inc / Marsalle Company
306,Mississippi River Distilling Company Llc
655,"Central Standard, Llc"
557,"Worldwide Libations, Llc"
454,Saloon Spirits Llc
589,Premier Distributors Llc
229,Dehner Distillery
325,Lonely Oak Distillery
451,Serralles Usa
594,"American Heritage Distillers, Llc / Century Farms Distillery"
521,Jem Beverage Company / Western Son
785,Maison Ferrand Usa
342,Dv Spirits Llc
888,"Trust Me Vodka, Inc."
285,Charles Jacquin Et Cie
100,Aiko Importers Inc
472,"Tequilas Premium, Inc"
549,"Green Frog Distillery, Llc"
357,Palm Bay International
642,"James Joseph Sanctified Spirits, Llc / Oak&Eden"
209,Minhas Micro Distillery
308,Mango Bottling
363,Paterno Imports Ltd / Terlato Wines International
641,Ch Distillery / 773 Llc
634,"Sagamore Whiskey, Llc"
