Variant ID,Variant,Pack,Bottle Volume,Category ID,Category Name,Manufacturer ID,Manufacturer Name
89177,Casamigos Reposado,6,750,3,Tequila & Mezcal,260,Diageo Americas
89193,Jose Cuervo Especial Reposado,48,200,3,Tequila & Mezcal,395,Proximo
4626,Buchanan Deluxe 12Yr,12,750,1,Whiskey,260,Diageo Americas
34598,Luksusowa Vodka,6,1750,4,Vodka,978,W J Deutsch & Sons Ltd
38176,Titos Handmade Vodka,12,750,4,Vodka,301,Fifth Generation Inc
11297,Crown Royal,12,1000,1,Whiskey,260,Diageo Americas
67905,Baileys Colada,12,750,5,Other,260,Diageo Americas
100423,Fireball Cinnamon Whiskey 100Ml Carrier,8,100,1,Whiskey,421,Sazerac Company  Inc
17086,Bulleit Bourbon,12,750,1,Whiskey,260,Diageo Americas
36873,Blue Ox Vodka,12,750,4,Vodka,777,"Blue Ox Spirits, Inc."
987161,Sooh Millet Armagnac Xo,12,750,11,Brandy,283,Best Case Wines Llc
86881,Southern Comfort Mini,10,50,1,Whiskey,421,Sazerac Company  Inc
88116,Milagro Silver,6,750,3,Tequila & Mezcal,240,William Grant & Sons Inc
73986,Di Amore Amaretto,12,750,6,Liqueur,421,Sazerac Company  Inc
35317,Barton Vodka,12,1000,4,Vodka,421,Sazerac Company  Inc
19064,Jim Beam,24,375,1,Whiskey,65,Jim Beam Brands
48105,Hennessy Vs,12,375,11,Brandy,420,Moet Hennessy Usa
28868,Tanqueray Gin,6,1750,7,Gin,260,Diageo Americas
27780,Jim Beam Apple Mini,12,50,1,Whiskey,65,Jim Beam Brands
36985,Blue Ox Vodka,24,375,4,Vodka,777,"Blue Ox Spirits, Inc."
87832,Jose Cuervo Tradicional Cristalino,6,750,3,Tequila & Mezcal,395,Proximo
43126,Bacardi Superior,12,750,2,Rum,35,Bacardi Usa Inc
100413,Fireball Cinnamon Whiskey Party Bucket,1,50,1,Whiskey,421,Sazerac Company  Inc
38194,Titos Handmade Vodka Mini,5,50,4,Vodka,301,Fifth Generation Inc
