Store ID,Store Name,Address,City,County,Zip Code,Store Location,Store_Segment,CLV,Frequency
5245,Best Trip,"1516, SE  1ST ST",Des Moines,Polk,50315.0,POINT (-93.61379 41.57608),Loyal Giants,117547.74,189.4475138121547
6303,World Liquor & Tobacco + Vapors / Des Moines,3200 SOUTHEAST 14TH STREET,Des Moines,Polk,50320.0,POINT (-93.59738 41.55503),Loyal Giants,311668.1,295.11049723756906
2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,Polk,50314.0,POINT (-93.61979 41.60558),Loyal Giants,1211350.28,746.3736263736264
2699,Hy-Vee C-Store #2 - Ankeny,1710 SW ORALABOR ROAD,Ankeny,Polk,50023.0,POINT (-93.62362 41.70324),Rising Stars,28362.999999999996,23.966480446927374
2636,Hy-Vee Wine And Spirits / Hubbell,2310 HUBBELL AVE,Des Moines,Polk,50317.0,POINT (-93.57411 41.60444),Loyal Giants,378283.65,280.7142857142857
6018,Casey'S General Store #2532 / Eldora,1807 EDGINGTON AVE,Eldora,Hardin,50627.0,POINT (-93.10608 42.3606),Rising Stars,39710.72000000001,37.247191011235955
2666,Hy-Vee Food Store #2 / State Ankeny,2510 SW STATE ST,Ankeny,Polk,50023.0,POINT (-93.62173 41.70471),Loyal Giants,1163964.3600000003,683.1476323119778
4829,Central City 2,1501 MICHIGAN AVE,Des Moines,Polk,50314.0,POINT (-93.61378 41.60575),Loyal Giants,8910512.370000001,1641.0989010989013
6006,Casey'S General Store #2635 / Johnston,10010 NW 62ND AVE,Johnston,Polk,50131.0,POINT (-93.75913 41.67288),Champions,53563.189999999995,50.469613259668506
6245,Neighborhood Liquor House / Ankeny,"833 EAST 1ST STREET, SUITE 102",Ankeny,Polk,50021.0,POINT (-93.58545 41.73189),Champions,231718.22,209.6685082872928
2633,Hy-Vee #3 / Bdi / Des Moines,3221 SE 14TH ST,Des Moines,Polk,50320.0,POINT (-93.5968 41.55392),Loyal Giants,9316688.23,1595.8677685950413
2696,Hy-Vee C-Store / Se Army Post,1113 SE ARMY POST RD,Des Moines,Polk,50315.0,POINT (-93.62905 41.5265),Champions,55405.1,58.011049723756905
5010,Sac City Food Pride,106 S 16TH ST,Sac City,Sac,50583.0,POINT (-95.00263 42.42243),Champions,72328.5,87.93388429752066
6125,Gateway Mart / Clinton,1930 ROOSEVELT ST,Clinton,Clinton,52732.0,POINT (-90.18057 41.86701),Loyal Giants,184828.85,145.02808988764045
2619,Hy-Vee Wine And Spirits / Wdm,1725  74TH ST,West Des Moines,Polk,50266.0,,Loyal Giants,1424633.47,589.8347107438017
2647,Hy-Vee #7 / Cedar Rapids,5050 EDGEWOOD RD,Cedar Rapids,Linn,52411.0,POINT (-91.7014 42.03062),Loyal Giants,1664001.91,1177.0879120879122
5656,Cody Mart Gas & Liquor,1220 N CODY RD,Le Claire,Scott,52753.0,POINT (-90.34437 41.6112),Loyal Giants,82645.81999999999,61.988950276243095
2665,Hy-Vee / Waukee,1005 E HICKMAN RD,Waukee,Dallas,50263.0,POINT (-93.85433 41.61507),Loyal Giants,1425543.95,619.3871866295265
6188,Sparky'S One Stop / Lake View,HWY 71 & HWY 175,Lake View,Sac,51450.0,,At-Risk Accounts,16233.300000000003,9.50413223140496
2648,Hy-Vee #4 / Wdm,555 S 51ST ST,West Des Moines,Polk,50265.0,POINT (-93.77293 41.56036),Loyal Giants,1137250.1,714.7107438016529
4204,Fareway Stores #025 / Clinton,1350 11TH ST NW,Clinton,Clinton,52733.0,POINT (-90.21136 41.86045),Champions,121936.79,116.11570247933885
2539,Hy-Vee Food Store (1295) / Iowa Falls,640 S. OAK,Iowa Falls,Hardin,50126.0,,Loyal Giants,493076.86,366.0497237569061
3664,Shade Tree Liquors,90 10TH ST S,Northwood,Worth,50459.0,POINT (-93.21834 43.44374),Champions,249529.45,205.69060773480663
4694,Rina Mart Llc / Davenport,3815 WEST KIMBERLY ROAD,Davenport,Scott,52806.0,POINT (-90.63136 41.5617),At-Risk Accounts,36705.049999999996,
2663,Hy-Vee Food Store / Urbandale,8701 DOUGLAS,Urbandale,Polk,50322.0,POINT (-93.739 41.62934),Loyal Giants,1721027.53,531.8487394957983
2200,Sac Liquor Store,619 E MAIN ST,Sac City,Sac,50583.0,POINT (-94.97402 42.42133),Loyal Giants,173514.48,231.40495867768595
5198,Riverside Liquor,826 E RIVER DR,Davenport,Scott,52803.0,POINT (-90.56172 41.52491),Champions,182400.5,180.3305785123967
2806,Osco #1118 / Clinton,1307 N SECOND,Clinton,Clinton,52732.0,POINT (-90.18489 41.85867),Loyal Giants,205171.56,181.7403314917127
4024,Wal-Mart 1546 / Iowa Falls,840 S OAK,Iowa Falls,Hardin,50126.0,,Loyal Giants,99191.45,74.8342541436464
4320,Fareway Stores #470 / Perry,1315 WILLIS AVE,Perry,Dallas,50220.0,POINT (-94.10303 41.83848),Loyal Giants,175609.13,130.803324099723
4132,Camanche Food Pride,908 7TH AVE,Camanche,Clinton,52730.0,POINT (-90.25735 41.78853),Loyal Giants,62543.9,68.51123595505618
2614,Hy-Vee #3 Food & Drugstore / Davenport,1823 E KIMBERLY RD,Davenport,Scott,52807.0,POINT (-90.55073 41.55678),Champions,2173686.94,999.6694214876034
4788,Walgreens #12580 / Cedar Rapids,324 EDGEWOOD RD NW,Cedar Rapids,Linn,52405.0,POINT (-91.71601 41.97501),Rising Stars,22452.03,16.16071428571429
4950,Kum & Go #514 / Cedar Rapids,1420 MT VERNON RD,Cedar Rapids,Linn,52403.0,POINT (-91.65129 41.97759),At-Risk Accounts,44710.97,74.28571428571428
6236,Westside Spirits / Cedar Rapids,3330 16TH AVE. SW,Cedar Rapids,Linn,52404.0,POINT (-91.71559 41.96359),Loyal Giants,459165.72,1107.8512396694216
4970,Jeff'S Market / West Liberty,"200, E 3RD ST",West Liberty,Muscatine,52776.0,POINT (-91.26158 41.56997),At-Risk Accounts,44949.88,83.69747899159664
5736,218 Fuel Express,68 MONROE STREET,Floyd,Floyd,50435.0,POINT (-92.73701 43.12253),Champions,181707.86999999997,136.24309392265192
3773,Benz Distributing,501 7TH AVE SE,Cedar Rapids,Linn,52401.0,POINT (-91.65989 41.97575),Champions,3454101.4599999995,1382.967032967033
4492,Casey'S General Store #2773 / Cedar Rapids,3625 EDGEWOOD RD SW,Cedar Rapids,Linn,52404.0,POINT (-91.71598 41.94232),Loyal Giants,121650.61999999998,108.73949579831933
4129,Cyclone Liquors,626 LINCOLN WAY,Ames,Story,50010.0,POINT (-93.61905 42.02291),Loyal Giants,658858.8399999999,687.5766016713092
3696,Wal-Mart 1723 / Des Moines,5101 SE 14TH ST,Des Moines,Polk,50315.0,POINT (-93.63541 41.53804),Loyal Giants,202837.76999999996,150.16528925619835
6316,Beer Thirty Carroll / Carroll,430 EAST 6TH STREET,Carroll,Carroll,51401.0,POINT (-94.8615 42.06419),Loyal Giants,560591.66,237.5206611570248
3666,Target Store T-1771 / Cedar Rapids,3400 EDGEWOOD RD SW,Cedar Rapids,Linn,52404.0,POINT (-91.71602 41.94398),Loyal Giants,186418.96,121.42857142857143
