Variant,Manufacturer Name,variant_name_id
Casamigos Reposado,Diageo Americas,1
Jose Cuervo Especial Reposado,Proximo,2
Buchanan Deluxe 12Yr,Diageo Americas,3
Luksusowa Vodka,W J Deutsch & Sons Ltd,4
Titos Handmade Vodka,Fifth Generation Inc,5
Crown Royal,Diageo Americas,6
Baileys Colada,Diageo Americas,7
Fireball Cinnamon Whiskey 100Ml Carrier,Sazerac Company  Inc,8
Bulleit Bourbon,Diageo Americas,9
Blue Ox Vodka,"Blue Ox Spirits, Inc.",10
Sooh Millet Armagnac Xo,Best Case Wines Llc,11
Southern Comfort Mini,Sazerac Company  Inc,12
Milagro Silver,William Grant & Sons Inc,13
Di Amore Amaretto,Sazerac Company  Inc,14
Barton Vodka,Sazerac Company  Inc,15
Jim Beam,Jim Beam Brands,16
Hennessy Vs,Moet Hennessy Usa,17
Tanqueray Gin,Diageo Americas,18
Jim Beam Apple Mini,Jim Beam Brands,19
Jose Cuervo Tradicional Cristalino,Proximo,20
Bacardi Superior,Bacardi Usa Inc,21
Fireball Cinnamon Whiskey Party Bucket,Sazerac Company  Inc,22
Titos Handmade Vodka Mini,Fifth Generation Inc,23
Few Spirits Bourbon Whiskey,Park Street Imports,24
Wild Turkey 101,Campari America,25
Fireball Cinnamon Whiskey,Sazerac Company  Inc,26
Midnight Moon Peach Mini,Piedmont Distillers Inc,27
Black Velvet,Heaven Hill Brands,28
Cedar Ridge Double Barrel Bourbon Whiskey,Cedar Ridge Vineyards Ll,29
Smirnoff Lime,Diageo Americas,30
Cm Nassif Family Reserve,Cats Eye Distillery,31
Casa Noble Anejo,Constellation Brands Inc,32
Captain Morgan 100Prf Spiced Rum,Diageo Americas,33
Makers Mark Mini,Jim Beam Brands,34
Mccormick 80Prf Vodka,Mccormick Distilling Co.,35
Svedka 80Prf,Constellation Brands Inc,36
Sombra Mezcal,Diageo Americas,37
Don Julio Blanco,Diageo Americas,38
Seagrams 7 Crown,Diageo Americas,39
Jack Daniels Old #7 Black Label,Brown Forman Corp.,40
Captain Morgan Original Spiced,Diageo Americas,41
New Amsterdam Peach,E & J Gallo Winery,42
Johnnie Walker Blue,Diageo Americas,43
Proper No. Twelve,Proximo,44
Patron Silver,Bacardi Usa Inc,45
Southern Comfort,Sazerac Company  Inc,46
